user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the focus for AI/ML Week 11?,['AI/ML Development - Week 11 - Module: Core Concepts'],The focus for AI/ML Development - Week 11 is on the Module: Core Concepts.,Week 11 focuses on core AI/ML concepts and practical tasks.,1.0,0.9787690599073962,0.9999999999,1.0
What is the focus for Mobile Week 12?,['Mobile Development - Week 12 - Module: Core Concepts'],"The focus for Mobile Development Week 12 is ""Core Concepts.""",Week 12 focuses on core Mobile concepts and practical tasks.,1.0,0.9600242546336101,0.9999999999,1.0
What is the focus for AI/ML Week 13?,['AI/ML Development - Week 13 - Module: Core Concepts'],"The focus for AI/ML Week 13 is ""Core Concepts.""",Week 13 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999996,0.9999999999,1.0
What is the focus for Mobile Week 14?,['Mobile Development - Week 14 - Module: Core Concepts'],"The focus for Mobile Development - Week 14 is ""Core Concepts.""",Week 14 focuses on core Mobile concepts and practical tasks.,1.0,0.9652668687741287,0.9999999999,1.0
What is the focus for AI/ML Week 15?,['AI/ML Development - Week 15 - Module: Core Concepts'],The focus for AI/ML Development - Week 15 is on the Module: Core Concepts.,Week 15 focuses on core AI/ML concepts and practical tasks.,1.0,0.9796108449951922,0.9999999999,1.0
What is the focus for Mobile Week 16?,['Mobile Development - Week 16 - Module: Core Concepts'],"The focus for Mobile Development - Week 16 is on ""Core Concepts.""",Week 16 focuses on core Mobile concepts and practical tasks.,1.0,0.9626453842618177,0.9999999999,1.0
What is the focus for AI/ML Week 17?,['AI/ML Development - Week 17 - Module: Core Concepts'],The focus for AI/ML Development - Week 17 is on the Module: Core Concepts.,Week 17 focuses on core AI/ML concepts and practical tasks.,1.0,0.9803802388901595,0.9999999999,1.0
What is the focus for Mobile Week 18?,['Mobile Development - Week 18 - Module: Core Concepts'],"The focus for Mobile Development - Week 18 is ""Core Concepts.""",Week 18 focuses on core Mobile concepts and practical tasks.,1.0,0.9655622626975392,0.9999999999,1.0
What is the focus for AI/ML Week 19?,['AI/ML Development - Week 19 - Module: Core Concepts'],The focus for AI/ML Development - Week 19 is on the Module: Core Concepts.,Week 19 focuses on core AI/ML concepts and practical tasks.,1.0,0.9794734082486936,0.9999999999,1.0
What is the focus for Mobile Week 20?,['Mobile Development - Week 20 - Module: Core Concepts'],"The focus for Mobile Development - Week 20 is on ""Core Concepts.""",Week 20 focuses on core Mobile concepts and practical tasks.,1.0,0.9715075764706915,0.9999999999,1.0
What is the focus for AI/ML Week 21?,['AI/ML Development - Week 21 - Module: Core Concepts'],The focus for AI/ML Development Week 21 is: Core Concepts.,Week 21 focuses on core AI/ML concepts and practical tasks.,1.0,0.9806369042541125,0.9999999999,1.0
What is the focus for Mobile Week 22?,['Mobile Development - Week 22 - Module: Core Concepts'],"The focus for Mobile Development - Week 22 - Module: Core Concepts is ""Core Concepts.""",Week 22 focuses on core Mobile concepts and practical tasks.,1.0,0.9392095837536345,0.9999999999,1.0
What is the focus for AI/ML Week 23?,['AI/ML Development - Week 23 - Module: Core Concepts'],The focus for AI/ML Development - Week 23 - Module: Core Concepts is on core concepts within AI and machine learning.,Week 23 focuses on core AI/ML concepts and practical tasks.,0.5,0.9256019155427393,0.9999999999,1.0
What is the focus for Mobile Week 24?,['Mobile Development - Week 24 - Module: Core Concepts'],"The focus for Mobile Development Week 24 is ""Core Concepts.""",Week 24 focuses on core Mobile concepts and practical tasks.,1.0,0.9755330762352945,0.9999999999,1.0
What is the focus for AI/ML Week 25?,['AI/ML Development - Week 25 - Module: Core Concepts'],"The focus for AI/ML Week 25 is ""Core Concepts.""",Week 25 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999998,0.9999999999,1.0
What is the focus for Mobile Week 26?,['Mobile Development - Week 26 - Module: Core Concepts'],"The focus for Mobile Development - Week 26 is on the module ""Core Concepts.""",Week 26 focuses on core Mobile concepts and practical tasks.,1.0,0.9721857789228618,0.9999999999,1.0
What is the focus for AI/ML Week 27?,['AI/ML Development - Week 27 - Module: Core Concepts'],"The focus for AI/ML Week 27 is ""Core Concepts.""",Week 27 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999994,0.9999999999,1.0
What is the focus for Mobile Week 28?,['Mobile Development - Week 28 - Module: Core Concepts'],The focus for Mobile Development - Week 28 is on the Module: Core Concepts.,Week 28 focuses on core Mobile concepts and practical tasks.,1.0,0.9719654820519802,0.9999999999,1.0
What is the focus for AI/ML Week 29?,['AI/ML Development - Week 29 - Module: Core Concepts'],"The focus for AI/ML Week 29 is ""Core Concepts.""",Week 29 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999998,0.9999999999,1.0
What is the focus for Mobile Week 30?,['Mobile Development - Week 30 - Module: Core Concepts'],The focus for Mobile Development - Week 30 is on the Module: Core Concepts.,Week 30 focuses on core Mobile concepts and practical tasks.,1.0,0.9722653428582061,0.9999999999,1.0
What is the focus for AI/ML Week 31?,['AI/ML Development - Week 31 - Module: Core Concepts'],"The focus for AI/ML Week 31 is ""Core Concepts.""",Week 31 focuses on core AI/ML concepts and practical tasks.,1.0,1.0000000000000002,0.9999999999,1.0
What is the focus for Mobile Week 32?,['Mobile Development - Week 32 - Module: Core Concepts'],The focus for Mobile Development - Week 32 is on the Module: Core Concepts.,Week 32 focuses on core Mobile concepts and practical tasks.,1.0,0.9730321414682427,0.9999999999,1.0
What is the focus for AI/ML Week 33?,['AI/ML Development - Week 33 - Module: Core Concepts'],"The focus for AI/ML Week 33 is ""Core Concepts.""",Week 33 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999999,0.9999999999,1.0
What is the focus for Mobile Week 34?,['Mobile Development - Week 34 - Module: Core Concepts'],"The focus for Mobile Development - Week 34 - Module: Core Concepts is on understanding the foundational principles and essential ideas that underpin mobile development. This includes grasping the core architecture, development frameworks, and key programming concepts specific to mobile platforms to build efficient and effective mobile applications.",Week 34 focuses on core Mobile concepts and practical tasks.,0.3333333333333333,0.918673235173554,0.9999999999,1.0
What is the focus for AI/ML Week 35?,['AI/ML Development - Week 35 - Module: Core Concepts'],"The focus for AI/ML Week 35 is ""Core Concepts.""",Week 35 focuses on core AI/ML concepts and practical tasks.,1.0,1.0000000000000004,0.9999999999,1.0
What is the focus for Mobile Week 36?,['Mobile Development - Week 36 - Module: Core Concepts'],The focus for Mobile Development - Week 36 is: Core Concepts.,Week 36 focuses on core Mobile concepts and practical tasks.,1.0,0.9720932140342509,0.9999999999,1.0
What is the focus for AI/ML Week 37?,['AI/ML Development - Week 37 - Module: Core Concepts'],"The focus for AI/ML Development - Week 37 is ""Core Concepts.""",Week 37 focuses on core AI/ML concepts and practical tasks.,1.0,0.9805820753993905,0.9999999999,1.0
What is the focus for Mobile Week 38?,['Mobile Development - Week 38 - Module: Core Concepts'],"The focus for Mobile Development - Week 38 - Module: Core Concepts is ""Core Concepts.""",Week 38 focuses on core Mobile concepts and practical tasks.,1.0,0.9474527269999513,0.9999999999,1.0
What is the focus for AI/ML Week 39?,['AI/ML Development - Week 39 - Module: Core Concepts'],The focus for AI/ML Development - Week 39 is the Module: Core Concepts.,Week 39 focuses on core AI/ML concepts and practical tasks.,1.0,0.9804388441730646,0.9999999999,1.0
What is the focus for Mobile Week 40?,['Mobile Development - Week 40 - Module: Core Concepts'],"The focus for Mobile Development - Week 40 - Module: Core Concepts is on understanding the fundamental principles and essential building blocks of mobile app development. This includes learning about mobile platforms, app lifecycle, user interface basics, handling user input, and managing resources efficiently. The goal is to establish a strong foundation in mobile core concepts to prepare for more advanced topics in upcoming weeks.",Week 40 focuses on core Mobile concepts and practical tasks.,0.25,0.9172958199051721,0.9999999999,1.0
What is the focus for AI/ML Week 41?,['AI/ML Development - Week 41 - Module: Core Concepts'],The focus for AI/ML Week 41 is: Core Concepts.,Week 41 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999996,0.9999999999,1.0
What is the focus for Mobile Week 42?,['Mobile Development - Week 42 - Module: Core Concepts'],"The focus for Mobile Development - Week 42 is on ""Core Concepts.""",Week 42 focuses on core Mobile concepts and practical tasks.,1.0,0.9726886343384983,0.9999999999,1.0
What is the focus for AI/ML Week 43?,['AI/ML Development - Week 43 - Module: Core Concepts'],"The focus for AI/ML Week 43 is ""Core Concepts"" as part of the AI/ML Development module.",Week 43 focuses on core AI/ML concepts and practical tasks.,1.0,0.9999999999999999,0.9999999999,1.0
What is the focus for Mobile Week 44?,['Mobile Development - Week 44 - Module: Core Concepts'],"The focus for Mobile Development - Week 44 is ""Core Concepts.""",Week 44 focuses on core Mobile concepts and practical tasks.,1.0,0.9724698165726262,0.9999999999,1.0
What is the focus for AI/ML Week 45?,['AI/ML Development - Week 45 - Module: Core Concepts'],The focus for AI/ML Development - Week 45 is the Module: Core Concepts.,Week 45 focuses on core AI/ML concepts and practical tasks.,1.0,0.9796129357338829,0.9999999999,1.0
What is the focus for Mobile Week 46?,['Mobile Development - Week 46 - Module: Core Concepts'],The focus for Mobile Development - Week 46 is the Module: Core Concepts.,Week 46 focuses on core Mobile concepts and practical tasks.,1.0,0.9728977681468646,0.9999999999,1.0
What is the focus for AI/ML Week 47?,['AI/ML Development - Week 47 - Module: Core Concepts'],The focus for AI/ML Development Week 47 is on the Module: Core Concepts.,Week 47 focuses on core AI/ML concepts and practical tasks.,1.0,0.9806290281135722,0.9999999999,1.0
What is the focus for Mobile Week 48?,['Mobile Development - Week 48 - Module: Core Concepts'],"The focus for Mobile Development - Week 48 is ""Core Concepts.""",Week 48 focuses on core Mobile concepts and practical tasks.,1.0,0.9731087305048469,0.9999999999,1.0
What is the focus for AI/ML Week 49?,['AI/ML Development - Week 49 - Module: Core Concepts'],The focus for AI/ML Development - Week 49 is on the Module: Core Concepts.,Week 49 focuses on core AI/ML concepts and practical tasks.,1.0,0.9793913128060123,0.9999999999,1.0
What is the focus for Mobile Week 50?,['Mobile Development - Week 50 - Module: Core Concepts'],The focus for Mobile Development - Week 50 - Module: Core Concepts is on the core fundamentals and essential principles that underpin mobile app development.,Week 50 focuses on core Mobile concepts and practical tasks.,0.6666666666666666,0.912367823460075,0.9999999999,1.0
